Temperature,Humidity,AirPressure,WindSpeed,Precipitation
28.5,65,1013.2,8.5,Yes
29.2,60,1012.8,7.2,No
26.8,72,1011.5,10.3,Yes
30.1,55,1014.1,5.8,No
27.3,68,1012.6,9.1,Yes
28.9,62,1013.4,8.0,No
25.5,75,1010.9,11.2,Yes
31.2,58,1014.8,6.3,No
26.2,70,1012.1,9.8,Yes
29.6,64,1013.7,7.5,No
27.8,67,1012.4,9.3,Yes
28.1,61,1013.9,7.9,No
25.9,73,1011.2,10.8,Yes
30.5,56,1014.5,6.1,No
27.0,69,1012.3,8.7,Yes
29.3,63,1013.6,8.2,No
26.5,71,1011.8,9.9,Yes
28.7,66,1013.1,8.4,No
24.8,76,1010.6,12.1,Yes
31.5,54,1015.2,5.5,No
27.5,68,1012.5,9.2,Yes
28.9,62,1013.4,8.0,No
26.1,72,1011.4,10.5,Yes
30.2,57,1014.2,6.0,No
27.2,70,1012.2,8.9,Yes
29.4,64,1013.8,7.6,No
25.7,74,1011.0,11.0,Yes
31.0,59,1014.9,6.2,No
26.8,69,1012.0,9.7,Yes
28.5,65,1013.3,8.5,No
29.1,61,1013.5,7.8,Yes
26.3,73,1011.6,10.6,No
30.0,56,1014.0,6.2,Yes
27.1,70,1012.4,8.8,No
28.8,63,1013.2,8.3,Yes
25.6,75,1011.1,11.1,No
31.3,55,1015.0,5.7,Yes
26.7,71,1011.9,9.8,No
28.6,66,1013.0,8.4,Yes
29.5,63,1013.7,7.7,No
25.4,76,1010.8,12.0,Yes
30.8,58,1014.7,6.1,No
27.3,69,1012.3,8.9,Yes
28.9,62,1013.5,8.1,No
26.2,72,1011.5,10.4,Yes
30.1,57,1014.1,6.1,No
27.0,70,1012.2,8.7,Yes
29.2,64,1013.6,7.6,No
25.8,74,1011.0,11.0,Yes
31.1,59,1014.8,6.2,No
